Hospital_Name,Address,City,State,County,Zip,Lat,Long,Location,Phone,Hospital_Type,Hospital_Ownership,Emergency_Services,Meets_criteria_for_meaningful_use_of_EHRs,Hospital_overall_rating,Hospital_overall_rating_footnote,Mortality_national_comparison,Mortality_national_comparison_footnote,Safety_of_care_national_comparison,Safety_of_care_national_comparison_footnote,Readmission_national_comparison,Readmission_national_comparison_footnote,Patient_experience_national_comparison,Patient_experience_national_comparison_footnote,Effectiveness_of_care_national_comparison,Effectiveness_of_care_national_comparison_footnote,Timeliness_of_care_national_comparison,Timeliness_of_care_national_comparison_footnote,Efficient_use of_medical_imaging_national_comparison,Efficient_use_of_medical_imaging_national_comparison_footnote,Emergency_Room,Hospital_Compare_Star_Rating,Star_rating_weight_and_score,Leapfrog_Safety_Grade,Leapfrog_grade_conversion,Leapfrog_weight_and_score,US_News_and_World_Report_State_Ranking,US_News_ranking_conversion,US_News_weight_and_score,Magnet_Designation,Magnet_rating,Magnet_weight_and_score,Magnet_Designation_Year,Redesignation,Info,Total_composite_score
METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,COOK,60640,41.973262,-87.671141,"5025 N PAULINA STREET CHICAGO, IL",(773) 271-9040,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,,Results are not available for this reporting period.,Below the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,,Results are not available for this reporting period.,Yes,2,0.7,,FALSE,0,0,0,0,N,0,0,,,1,0.7
METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,COOK,60406,41.6586,-87.67809,"12935 S GREGORY BLUE ISLAND, IL",(708) 597-2000,Acute Care Hospital,Proprietary,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,C,3,1.05,0,0,0,N,0,0,,,1,1.75
MIDWESTERN REGION MED CENTER,2520 ELISHA AVENUE,ZION,IL,LAKE,60099,42.44897,-87.82684,"2520 ELISHA AVENUE ZION, IL",(847) 872-4561,Acute Care Hospital,Proprietary,TRUE,TRUE,5,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,,Results are not available for this reporting period.,Yes,5,1.75,,FALSE,0,0,0,0,N,0,0,,,1,1.75
MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,GRUNDY,60450,41.368907,-88.426016,"150 W HIGH ST MORRIS, IL",(815) 942-2932,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,,,1,2.8
MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,COOK,60608,41.50497,-87.59399,"15TH STREET AT CALIFORNIA CHICAGO, IL",(773) 542-2000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,F,1,0.35,0,0,0,N,0,0,,,1,0.7
NORTHSHORE UNIVERSITY HEALTH SYSTEM,2650 RIDGE AVE,EVANSTON,IL,COOK,60201,42.0653,-87.683293,"2650 RIDGE AVE EVANSTON, IL",(847) 432-8000,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,5,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,7,4,0.6,Y,5,0.75,2015,,1,4.85
NORTHWEST COMMUNITY HOSPITAL,800 W CENTRAL ROAD,ARLINGTON HEIGHTS,IL,COOK,60005,42.066604,-87.992951,"800 W CENTRAL ROAD ARLINGTON HEIGHTS, IL",(847) 618-1000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Yes,4,1.4,B,4,1.4,19,2,0.3,Y,5,0.75,2015,redesignation,1,3.85
NORTHWESTERN CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,DUPAGE,60190,41.873765,-88.158095,"25 NORTH WINFIELD ROAD WINFIELD, IL",(630) 682-1600,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,A,5,1.75,7,4,0.6,Y,5,0.75,2015,redesignation,1,4.5
NORTHWESTERN DELNOR COMMUNITY HOSPITAL,300 RANDALL RD,GENEVA,IL,KANE,60134,41.886345,-88.340414,"300 RANDALL RD GENEVA, IL",(630) 208-3000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,16,2,0.3,Y,5,0.75,2018,redesignation,1,4.55
NORTHWESTERN KISHWAUKEE COMMUNITY HOSPITAL,1 KISH HOSPITAL DRIVE,DEKALB,IL,DE KALB,60115,41.96188,-88.72226,"1 KISH HOSPITAL DRIVE DEKALB, IL",(815) 756-1521,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,3,1.05,B,4,1.4,0,0,0,N,0,0,,,1,2.45
NORTHWESTERN LAKE FOREST HOSPITAL,1000 N WESTMORELAND ROAD,LAKE FOREST,IL,LAKE,60045,42.259134,-87.866327,"1000 N WESTMORELAND ROAD LAKE FOREST, IL",(847) 234-5600,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,4,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,Yes,4,1.4,B,4,1.4,16,2,0.3,Y,5,0.75,2015,redesignation,1,3.85
NORTHWESTERN MEDICINE MCHENRY HOSPITAL,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,MCHENRY,60050,42.3189,-88.279787,"4201 MEDICAL CENTER DRIVE MCHENRY, IL",(815) 344-5000,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,19,2,0.3,N,0,0,,,1,3.8
NORTHWESTERN MEDICINE WOODSTOCK HOSPITAL,3701 DOTY ROAD,WOODSTOCK,IL,MCHENRY,60098,42.275688,-88.398938,"3701 DOTY ROAD WOODSTOCK, IL",(815) 788-5823,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,4,1.4,,FALSE,0,0,0,0,N,0,0,,,1,1.4
NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,COOK,60611,41.894995,-87.621364,"251 E HURON ST CHICAGO, IL",(312) 926-2000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,1,5,0.75,Y,5,0.75,2015,redesignation,1,4.65
NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,CHICAGO,IL,COOK,60622,41.900481,-87.699288,"1044 N FRANCISCO AVE CHICAGO, IL",(773) 292-8200,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,,,1,1.4
PALOS COMMUNITY HOSPITAL,12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,IL,COOK,60463,41.668955,-87.815976,"12251 SOUTH 80TH AVENUE PALOS HEIGHTS, IL",(708) 923-4000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,B,4,1.4,19,2,0.3,N,0,0,,,1,3.45
PRESENCE MERCY MEDICAL CENTER,1325 N HIGHLAND AVENUE,AURORA,IL,KANE,60506,41.785548,-88.328888,"1325 N HIGHLAND AVENUE AURORA, IL",(630) 859-2222,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,A,5,1.75,0,0,0,N,0,0,,,1,3.15
PRESENCE RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,COOK,60631,41.988458,-87.81257,"7435 W TALCOTT AVENUE CHICAGO, IL",(773) 774-8000,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,4,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,0,0,0,N,0,0,,,1,3.15
PRESENCE SAINT FRANCIS HOSPITAL - EVANSTON,355 RIDGE AVE,EVANSTON,IL,COOK,60202,42.023951,-87.685159,"355 RIDGE AVE EVANSTON, IL",(847) 316-4000,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,B,4,1.4,0,0,0,Y,5,0.75,2016,,1,2.5
PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,COOK,60657,41.933928,-87.636418,"2900 NORTH LAKE SHORE DRIVE CHICAGO, IL",(773) 665-3000,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,4,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,0,0,0,N,0,0,,,1,3.15
PRESENCE SAINT JOSEPH MEDICAL CENTER - JOLIET,333 N MADISON ST,JOLIET,IL,WILL,60435,41.528248,-88.134645,"333 N MADISON ST JOLIET, IL",(815) 725-7133,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,1,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,B,4,1.4,0,0,0,Y,5,0.75,2016,,1,2.5
PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,2233 W DIVISION ST,CHICAGO,IL,COOK,60622,41.903104,-87.683213,"2233 W DIVISION ST CHICAGO, IL",(312) 770-2000,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Yes,3,1.05,A,5,1.75,0,0,0,Y,5,0.75,2018,,1,3.55
PROVIDENT HOSPITAL OF CHICAGO,500 E 51ST ST,CHICAGO,IL,COOK,60615,41.802158,-87.614193,"500 E 51ST ST CHICAGO, IL",(312) 572-2000,Acute Care Hospital,Government - Local,TRUE,TRUE,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,,Results are not available for this reporting period.,,Results are not available for this reporting period.,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Below the national average,,Same as the national average,,Yes,,0,,FALSE,0,0,0,0,N,0,0,,,1,0
ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,COOK,60628,41.692562,-87.624734,"45 W 111TH STREET CHICAGO, IL",(773) 995-3000,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,1,,Same as the national average,,,Results are not available for this reporting period.,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,1,0.35,,FALSE,0,0,0,0,N,0,0,,,1,0.35
RUSH COPLEY MEDICAL CENTER,2000 OGDEN AVENUE,AURORA,IL,KANE,60504,41.727722,-88.268415,"2000 OGDEN AVENUE AURORA, IL",(630) 978-6200,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,5,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,0,0,0,N,0,0,,,1,3.5
RUSH OAK PARK HOSPITAL,520 S MAPLE AVE,OAK PARK,IL,COOK,60304,41.879026,-87.803818,"520 S MAPLE AVE OAK PARK, IL",(708) 383-9300,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,0,0,0,Y,5,0.75,2016,,1,3.9
RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,COOK,60612,41.875166,-87.66851,"1653 WEST CONGRESS PARKWAY CHICAGO, IL",(312) 942-5000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,5,1.75,B,4,1.4,2,5,0.75,Y,5,0.75,2016,redesignation,1,4.65
SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,COOK,60623,41.855538,-87.698272,"2875 WEST 19TH STREET CHICAGO, IL",(773) 521-1710,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,2,0.7,,FALSE,0,0,0,0,N,0,0,,,1,0.7
SAINT BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,COOK,60621,41.778114,-87.633273,"326 W 64TH ST CHICAGO, IL",(773) 962-3900,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,1,0.35,,FALSE,0,0,0,0,N,0,0,,,1,0.35
SHRINERS HOSPITAL FOR CHILDREN,2211 NORTH OAK PARK AVE,CHICAGO,IL,COOK,60707,41.916766,-87.79499,"2211 NORTH OAK PARK AVE CHICAGO, IL",(773) 622-5400,Childrens,Voluntary non-profit - Private,FALSE,TRUE,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,No,,0,,FALSE,0,0,0,0,N,0,0,,,1,0
SILVER CROSS HOSPITAL,1900 SILVER CROSS BLVD,NEW LENOX,IL,WILL,60451,41.54543,-87.986049,"1900 SILVER CROSS BLVD NEW LENOX, IL",(815) 300-1100,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,0,0,0,N,0,0,,,1,3.5
SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,CHICAGO,IL,COOK,60617,41.749496,-87.568623,"8012 SOUTH CRANDON AVENUE CHICAGO, IL",(773) 356-5000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,2,0.7,F,1,0.35,0,0,0,N,0,0,,,1,1.05
SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,COOK,60625,41.975219,-87.698918,"5145 N CALIFORNIA AVE CHICAGO, IL",(773) 878-8200,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,3,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,3,1.05,B,4,1.4,0,0,0,Y,5,0.75,2015,redesignation,1,3.2
THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,COOK,60613,41.954556,-87.650899,"850 W IRVING PARK RD CHICAGO, IL",(312) 525-6780,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,2,0.7,,FALSE,0,0,0,0,N,0,0,,,1,0.7
UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,COOK,60637,41.787956,-87.604925,"5841 SOUTH MARYLAND CHICAGO, IL",(773) 702-1000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,4,5,0.75,Y,5,0.75,2018,,1,4.3
UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,COOK,60612,41.869224,-87.670529,"1740 WEST TAYLOR ST SUITE 1400 CHICAGO, IL",(312) 996-3900,Acute Care Hospital,Government - State,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,,,1,1.4
VALLEY WEST COMMUNITY HOSPITAL,1301 NORTH MAIN STREET,SANDWICH,IL,DE KALB,60548,41.657133,-88.62192,"1301 NORTH MAIN STREET SANDWICH, IL",(815) 786-8484,Critical Access Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,4,1.4,,FALSE,0,0,0,0,N,0,0,,,1,1.4
VISTA MEDICAL CENTER EAST,1324 NORTH SHERIDAN ROAD,WAUKEGAN,IL,LAKE,60085,42.378264,-87.830964,"1324 NORTH SHERIDAN ROAD WAUKEGAN, IL",(847) 360-3000,Acute Care Hospital,Voluntary non-profit - Other,FALSE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,,FALSE,0,0,0,0,N,0,0,,,1,0.7
WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,COOK,60302,41.89184,-87.777471,"3 ERIE COURT OAK PARK, IL",(708) 383-6200,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,B,4,1.4,0,0,0,N,0,0,,,1,1.75
WESTLAKE COMMUNITY HOSPITAL,1225 LAKE ST,MELROSE PARK,IL,COOK,60160,41.891794,-87.848963,"1225 LAKE ST MELROSE PARK, IL",(708) 938-4000,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,2,0.7,B,4,1.4,0,0,0,N,0,0,,,1,2.1